year,title,venue,type,topic,role,citations,url
2026,Reduced cardiac workload and enhanced oxygen extraction during maximal exercise in recreational endurance runners,Open Heart,Journal Article,Exercise Physiology,Co-author,0,https://doi.org/10.1136/openhrt-2026-004263
2024,Sacubitril/valsartan for the treatment of non-obstructive hypertrophic cardiomyopathy: an open-label randomized controlled trial (SILICOFCM),European Journal of Heart Failure,Journal Article,Computational Cardiology,Co-author,26,https://doi.org/10.1002/ejhf.3291
2024,The ventilatory efficiency parameters outperform peak oxygen consumption in monitoring the therapy effects in patients with hypertrophic cardiomyopathy,Progress in Cardiovascular Diseases,Journal Article,Computational Cardiology,First author,2,https://doi.org/10.1016/j.pcad.2024.10.005
2024,A Machine Learning Approach to Gene Expression in Hypertrophic Cardiomyopathy,Pharmaceuticals,Journal Article,Machine Learning,Co-author,2,https://doi.org/10.3390/ph17101364
2024,The ventilatory efficiency parameters outperform peak oxygen consumption in monitoring the therapy effects on the right ventricular load in patients with hypertrophic cardiomyopathy,European Heart Journal,Conference Abstract,Computational Cardiology,Co-author,0,https://doi.org/10.1093/eurheartj/ehae666.2970
2024,Endurance training protects the heart during maximal exercise in long-distance runners,European Journal of Preventive Cardiology,Conference Abstract,Exercise Physiology,Co-author,0,https://doi.org/10.1093/eurjpc/zwae175.281
2022,Defining the importance of stress reduction in managing cardiovascular disease — the role of exercise,Progress in Cardiovascular Diseases,Review,Cardiovascular,Co-author,72,https://doi.org/10.1016/j.pcad.2022.01.008
2022,Physiological behavior during stress anticipation across different chronic stress exposure adaptive models,Stress,Journal Article,Stress Physiology,Co-author,12,https://doi.org/10.1080/10253890.2021.2006178
2021,Physical activity and exercise as an essential medical strategy for the COVID-19 pandemic and beyond,Experimental Biology and Medicine,Journal Article,Public Health,First author,11,https://doi.org/10.1177/15353702211028543
2021,Alpha-melanocyte-stimulating hormone during exercise recovery has prognostic value for coronary artery disease,Hormones,Journal Article,Endocrinology,Co-author,1,https://doi.org/10.1007/s42000-020-00270-2
2020,The alpha-melanocyte stimulating hormone is related to heart rate during exercise recovery,Heliyon,Journal Article,Endocrinology,Co-author,1,https://doi.org/10.1016/j.heliyon.2020.e05380
2019,Injury Incidence in Female Serbian Elite Volleyball Players,Sport Mont,Journal Article,Sports Medicine,First author,10,https://doi.org/10.26773/smj.191005
2019,Hormonal response of cortisol during exercise,Godisnjak Fakulteta sporta i fizickog vaspitanja,Journal Article,Endocrinology,Co-author,1,https://doi.org/10.5937/gfsfv1924107s
2019,Effects of mesotherapy procedures in knee pain treatment — case report,2nd Serbian International Sports Medicine Conference,Conference Paper,Sports Medicine,Co-author,0,
